epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8991894721984863,0.2221604883670807,0.8981772661209106,0.9747612476348877,0.9959016442298889,0.035509463399648666,0.991525411605835,1.0
1,0.9721378087997437,0.07619469612836838,0.9796057343482971,0.9829468131065369,1.0,0.008750776760280132,1.0,1.0
2,0.9929078221321106,0.02763737551867962,0.9952251315116882,0.9952251315116882,1.0,0.005757121369242668,1.0,1.0
3,0.9863221645355225,0.035104695707559586,0.9897889494895935,0.9918144345283508,1.0,0.007468406111001968,1.0,1.0
4,0.9934144020080566,0.022413725033402443,0.9945541024208069,0.9965893626213074,1.0,0.0039247777312994,1.0,1.0
5,0.9924012422561646,0.020906800404191017,0.9965776801109314,0.9931787252426147,1.0,0.0011006718268617988,1.0,1.0
6,0.9924012422561646,0.022922363132238388,0.9945467114448547,0.9952251315116882,1.0,0.001474619610235095,1.0,1.0
7,0.9959473013877869,0.013840883038938046,0.9965940117835999,0.9979535937309265,1.0,0.0025053981225937605,1.0,1.0
8,0.9924012422561646,0.013830630108714104,0.9932019114494324,0.9965893626213074,1.0,0.001767700887285173,1.0,1.0
9,0.9944275617599487,0.015661153942346573,0.9959100484848022,0.9965893626213074,0.9959016442298889,0.006731029134243727,1.0,0.9914529919624329
10,0.9954407215118408,0.010729987174272537,0.9965916872024536,0.9972714781761169,1.0,0.0017397577175870538,1.0,1.0
11,0.9979736804962158,0.007328951731324196,0.9986357688903809,0.9986357688903809,1.0,0.0020723259076476097,1.0,1.0
12,0.9984802603721619,0.005927602294832468,1.0,0.9979535937309265,1.0,0.000769409816712141,1.0,1.0
13,0.9959473013877869,0.013808848336338997,0.9965940117835999,0.9979535937309265,1.0,0.0005759629420936108,1.0,1.0
14,0.999493420124054,0.003659661393612623,1.0,0.9993178844451904,0.9959016442298889,0.004168846178799868,1.0,0.9914529919624329
15,0.9979736804962158,0.004340808838605881,0.9986357688903809,0.9986357688903809,1.0,0.0003123705100733787,1.0,1.0
16,0.996960461139679,0.01224580593407154,0.9979535937309265,0.9979535937309265,1.0,0.0011202810565009713,1.0,1.0
17,0.9959473013877869,0.012573683634400368,0.9972714781761169,0.9972714781761169,1.0,0.0005990196368657053,1.0,1.0
18,0.9949341416358948,0.01879681646823883,0.9972677826881409,0.9959072470664978,1.0,0.0027077828999608755,1.0,1.0
19,0.9989868402481079,0.005415296647697687,0.9986376166343689,1.0,1.0,0.0006550603429786861,1.0,1.0
